base,distancia,tempo
3,6.3,36
1,4.8,29
1,4.4,26
2,5.9,34
3,6.5,38
1,4.7,28
2,5.2,29
3,6.2,35
1,4.1,23
2,5.6,31
3,5.7,33
1,4.3,25
1,4.9,27
2,5.8,32
3,6.4,37
1,4.5,26
2,5.5,30
3,6.0,34
1,4.2,24
2,5.3,29
3,6.1,36
1,4.6,28
1,4.0,22
2,6.2,35
3,5.9,34
1,4.8,27
2,5.7,31
3,6.3,38
1,4.4,25
2,5.4,30
3,5.8,33
1,4.7,28
1,4.1,24
2,5.9,34
3,6.5,37
1,4.3,26
2,6.0,33
3,6.1,35
1,4.5,27
2,5.2,29
3,5.6,32
1,4.9,28
1,4.2,25
2,5.8,33
3,6.4,36
1,4.6,27
2,5.3,30
3,5.7,32
1,4.0,23
2,6.1,34
3,6.2,37
1,4.8,28
1,4.4,26
2,5.5,31
3,6.0,35
1,4.7,27
2,5.9,33
3,6.3,38
1,4.1,24
2,5.4,30
3,5.8,34
1,4.3,25
1,4.9,29
2,6.2,35
3,6.5,37
1,4.5,26
2,5.7,32
3,5.3,30
1,4.2,24
2,5.6,31
3,6.1,36
1,4.6,28
1,4.0,22
2,5.9,34
3,6.4,38
1,4.8,27
2,5.2,29
3,5.8,33
1,4.4,25
2,6.0,34
3,6.3,36
1,4.7,28
1,4.1,23
2,5.5,30
3,5.7,32
1,4.3,26
2,5.8,33
3,6.2,35
1,4.9,29
2,6.1,34
3,6.5,38
1,4.5,27
1,4.2,24
2,5.4,30
3,5.9,34
1,4.6,26
2,5.3,29
3,6.0,35
1,4.0,23
2,5.7,32
3,6.4,37
1,4.8,28
1,4.3,25
2,5.9,33
3,6.1,36
1,4.7,27
2,5.5,31
3,5.8,34
1,4.1,24
2,6.0,34
3,6.3,37
1,4.5,26
1,4.9,29
2,5.4,30
3,6.2,35
1,4.2,25
2,5.6,32
3,5.7,33
1,4.6,28
2,5.8,33
3,6.5,38
1,4.0,22
1,4.8,27
2,5.3,29
3,6.4,37
1,4.4,26
2,5.9,34
3,6.0,35
1,4.3,25
2,5.7,32
3,6.1,36
1,4.7,28
1,4.1,23
2,5.2,30
3,5.9,34
1,4.5,27
2,6.1,35
3,6.3,38
1,4.9,29
2,5.4,31
3,5.8,33
1,4.2,24
1,4.6,27
2,5.6,32
3,6.2,36
1,4.0,23
2,5.8,33
3,6.5,37
1,4.8,28
2,5.3,30
3,5.7,32
1,4.4,26
1,4.3,25
2,5.9,34
3,6.4,38
1,4.7,27
2,6.0,35
3,6.1,36
1,4.1,24
2,5.5,31
3,5.8,34
1,4.5,26
1,4.9,28
2,5.7,32
3,6.3,37
1,4.2,25
2,5.4,30
3,6.0,35
1,4.6,27
2,6.2,35
3,5.9,34
1,4.0,22
1,4.8,29
2,5.6,31
3,6.5,38
1,4.4,26
2,5.3,29
3,6.1,36
1,4.3,25
2,5.8,33
3,5.7,32
1,4.7,28
1,4.1,23
2,5.9,34
3,6.4,37
1,4.5,27
2,5.2,30
3,6.0,35
1,4.9,28
2,5.5,31
3,6.3,38
1,4.2,24
1,4.6,26
2,6.1,34
3,5.8,33
1,4.0,23
2,5.7,32
3,6.2,36
1,4.8,27
2,5.4,30
3,6.5,37
1,4.4,25
1,4.3,26
2,5.9,33
3,6.0,35
1,4.7,28
2,5.6,31
3,5.8,34
1,4.1,24
2,6.2,35
3,6.4,38
1,4.5,27
1,4.9,29
2,5.3,30
3,6.1,36
1,4.2,25
2,5.7,32
3,5.9,34
1,4.6,27
2,5.5,31
3,6.3,37
1,4.0,22
1,4.8,28
2,6.0,34
3,6.5,38
1,4.4,26
2,5.4,30
3,5.8,33
1,4.3,25
2,5.9,34
3,6.2,36
1,4.7,27
1,4.1,23
2,5.6,31
3,6.0,35
1,4.5,26
2,5.8,33
3,6.4,37
1,4.9,29
2,5.2,29
3,5.7,32
1,4.2,24
1,4.6,28
2,6.1,35
3,6.3,38
1,4.0,23
2,5.5,30
3,5.9,34
1,4.8,27
2,5.3,29
3,6.2,35
1,4.4,25
1,4.3,26
2,5.7,32
3,6.5,37
1,4.7,28
2,6.0,34
3,5.8,33
1,4.1,24
2,5.4,30
3,6.1,36
1,4.5,27
1,4.9,28
2,5.9,33
3,6.4,38
1,4.2,25
2,5.6,31
3,6.0,35
1,4.6,27
2,5.8,33
3,5.7,32
1,4.0,22
1,4.8,29
2,6.2,35
3,6.3,37
1,4.4,26
2,5.3,30
3,5.9,34
1,4.3,25
2,5.5,31
3,6.5,38
1,4.7,27
1,4.1,23
2,5.7,32
3,6.1,36
1,4.5,26
2,6.0,34
3,5.8,33
1,4.9,28
2,5.4,30
3,6.4,37
1,4.2,24
1,4.6,27
2,5.9,34
3,6.2,35
1,4.0,23
2,5.6,31
3,5.7,32
1,4.8,28
2,6.1,35
3,6.5,38
1,4.4,25
1,4.3,26
2,5.8,33
3,6.0,34
1,4.7,27
2,5.3,29
3,5.9,34
1,4.1,24
2,5.5,30
3,6.3,37
1,4.5,26
1,4.9,29
2,6.2,35
3,6.4,38
1,4.2,25
2,5.7,32
3,5.8,33
1,4.6,28
2,5.4,31
3,6.1,36
1,4.0,22
1,4.8,27
2,5.9,34
3,6.5,37
1,4.4,26
2,5.6,31
3,6.0,35
1,4.3,25
2,6.1,34
3,5.7,32
1,4.7,28
1,4.1,23
2,5.3,30
3,6.3,38
1,4.5,27
2,5.8,33
3,6.2,36
1,4.9,29
2,5.5,31
3,5.9,34
1,4.2,24
1,4.6,26
2,6.0,34
3,6.4,37
1,4.0,23
2,5.7,32
3,5.8,33
1,4.8,28
2,5.4,30
3,6.5,38
1,4.4,25
1,4.3,26
2,5.9,34
3,6.1,35
1,4.7,27
2,5.6,31
3,6.0,35
1,4.1,24
2,5.2,29
3,6.3,37
1,4.5,26
1,4.9,28
2,5.8,33
3,6.2,36
1,4.2,25
2,6.1,34
3,5.7,32
1,4.6,27
2,5.5,30
3,6.4,38
1,4.0,22
1,4.8,29
2,5.3,29
3,6.5,37
1,4.4,26
2,5.9,34
3,5.8,33
1,4.3,25
2,6.0,35
3,6.2,36
1,4.7,28
1,4.1,23
2,5.7,32
3,6.1,35
1,4.5,27
2,5.4,30
3,5.9,34
1,4.9,29
2,5.6,31
3,6.4,37
1,4.2,24
1,4.6,26
2,6.2,35
3,6.3,38
1,4.0,23
2,5.8,33
3,5.7,32
1,4.8,28
2,5.3,30
3,6.5,38
1,4.4,25
1,4.3,26
2,5.5,31
3,6.0,34
1,4.7,27
2,5.9,33
3,6.1,36
1,4.1,24
2,6.1,35
3,5.8,33
1,4.5,26
1,4.9,28
2,5.4,30
3,6.4,37
1,4.2,25
2,5.7,32
3,6.2,35
1,4.6,27
2,5.6,31
3,5.9,34
1,4.0,22
1,4.8,29
2,6.0,34
3,6.5,38
1,4.4,26
2,5.3,29
3,6.3,37
1,4.3,25
2,5.8,33
3,5.7,32
1,4.7,28
1,4.1,23
2,5.9,34
3,6.1,36
1,4.5,27
2,5.5,30
3,6.0,35
1,4.9,29
2,5.2,29
3,6.4,37
1,4.2,24
1,4.6,26
2,6.2,35
3,5.8,33
1,4.0,23
2,5.7,32
3,6.5,38
1,4.8,28
2,5.4,30
3,6.1,36
1,4.4,25
1,4.3,26
2,5.6,31
3,6.3,37
1,4.7,27
2,5.9,34
3,6.0,35
1,4.1,24
2,5.8,33
3,5.7,32
1,4.5,26
1,4.9,28
2,6.1,34
3,6.4,38
1,4.2,25
2,5.3,30
3,5.9,34
1,4.6,27
2,5.5,31
3,6.2,36
1,4.0,22
1,4.8,29
2,6.0,34
3,6.5,37
1,4.4,26
2,5.7,32
3,5.8,33
1,4.3,25
2,5.4,30
3,6.3,38
1,4.7,28
1,4.1,23
2,5.9,34
3,6.1,35
1,4.5,27
2,5.6,31
3,6.0,35
1,4.9,29
2,5.2,29
3,6.4,37
1,4.2,24
1,4.6,26
2,5.8,33
3,6.2,36
1,4.0,23
2,6.1,34
3,5.7,32
1,4.8,28
2,5.5,30
3,6.5,38
1,4.4,25
1,4.3,26
2,5.3,29
3,6.0,35
1,4.7,27
2,5.9,34
3,6.3,37
1,4.1,24
2,5.7,32
3,5.8,33
1,4.5,26
1,4.9,28
2,6.2,35
3,6.4,38
1,4.2,25
2,5.4,30
3,6.1,36
1,4.6,27
2,5.6,31
3,5.9,34
1,4.0,22
1,4.8,29
2,5.8,33
3,6.5,37
1,4.4,26
2,6.0,34
3,6.2,36
1,4.3,25
2,5.5,31
3,5.7,32
1,4.7,28
1,4.1,23
2,5.3,30
3,6.4,38
1,4.5,27
2,5.9,34
3,6.1,35
1,4.9,29
2,5.7,32
3,6.0,35
1,4.2,24
1,4.6,26
2,6.1,34
3,6.3,37
1,4.0,23
2,5.4,30
3,5.8,33
1,4.8,28
2,5.6,31
3,6.5,38
1,4.4,25
1,4.3,26
2,5.9,34
3,6.2,36
1,4.7,27
2,5.8,33
3,5.7,32
1,4.1,24
2,6.0,35
3,6.4,37
1,4.5,26
1,4.9,28
2,5.3,29
3,6.1,36
1,4.2,25
2,5.5,30
3,5.9,34
1,4.6,27
2,5.7,32
3,6.3,38
1,4.0,22
1,4.8,29
2,6.2,35
3,6.5,37
1,4.4,26
2,5.4,30
3,6.0,35
1,4.3,25
2,5.8,33
3,5.6,31
1,4.7,28
1,4.1,23
2,5.9,34
3,6.4,38
1,4.5,27
2,5.2,29
3,6.1,36
1,4.9,29
2,5.7,32
3,6.3,37
1,4.2,24
1,4.6,26
2,6.0,34
3,5.8,33
1,4.0,23
2,5.5,30
3,6.2,35
1,4.8,28
2,5.3,29
3,6.5,38
1,4.4,25
1,4.3,26
2,5.9,34
3,6.1,36
1,4.7,27
2,5.6,31
3,5.7,32
1,4.1,24
2,6.2,35
3,6.4,37
1,4.5,26
1,4.9,28
2,5.4,30
3,6.0,35
1,4.2,25
2,5.8,33
3,6.3,38
1,4.6,27
2,5.7,32
3,5.9,34
1,4.0,22
1,4.8,29
2,6.1,34
3,6.5,37
1,4.4,26
2,5.3,29
3,5.8,33
1,4.3,25
2,5.5,30
3,6.2,36
1,4.7,28
1,4.1,23
2,5.9,34
3,6.4,38
1,4.5,27
2,6.0,35
3,6.1,36
1,4.9,29
2,5.7,32
3,5.6,31
1,4.2,24
1,4.6,26
2,5.4,30
3,6.3,37
1,4.0,23
2,5.8,33
3,6.5,38
1,4.8,28
2,6.2,35
3,5.9,34
1,4.4,25
1,4.3,26
2,5.6,31
3,6.0,35
1,4.7,27
2,5.3,29
3,6.1,36
1,4.1,24
2,5.9,34
3,6.4,37
1,4.5,26
1,4.9,28
2,5.5,30
3,5.7,32
1,4.2,25
2,6.0,34
3,6.3,38
1,4.6,27
2,5.8,33
3,6.2,36
1,4.0,22
1,4.8,29
2,5.7,32
3,6.5,37
1,4.4,26
2,5.4,30
3,5.9,34
1,4.3,25
2,6.1,35
3,6.4,38
1,4.7,28
1,4.1,23
2,5.6,31
3,6.0,35
1,4.5,27
2,5.3,29
3,5.8,33
1,4.9,29
2,5.9,34
3,6.2,36
1,4.2,24
1,4.6,26
2,6.2,35
3,6.5,37
1,4.0,23
2,5.5,30
3,5.7,32
1,4.8,28
2,5.4,30
3,6.1,36
1,4.4,25
1,4.3,26
2,5.8,33
3,6.3,38
1,4.7,27
2,6.0,34
3,5.9,34
1,4.1,24
2,5.7,32
3,6.4,37
1,4.5,26
1,4.9,28
2,5.6,31
3,6.1,35
1,4.2,25
2,5.3,29
3,5.8,33
1,4.6,27
2,5.5,30
3,6.5,38
1,4.0,22
1,4.8,29
2,6.0,34
3,6.2,36
1,4.4,26
2,5.9,34
3,5.7,32
1,4.3,25
2,5.4,30
3,6.4,37
1,4.7,28
1,4.1,23
2,6.1,35
3,6.3,38
1,4.5,27
2,5.8,33
3,5.9,34
1,4.9,29
2,5.3,29
3,6.0,35
1,4.2,24
1,4.6,26
2,5.7,32
3,6.5,37
1,4.0,23
2,6.2,35
3,5.8,33
1,4.8,28
2,5.5,30
3,6.1,36
1,4.4,25
1,4.3,26
2,5.9,34
3,6.4,38
1,4.7,27
2,5.6,31
3,6.0,35
1,4.1,24
2,5.4,30
3,5.7,32
1,4.5,26
1,4.9,28
2,6.1,34
3,6.3,37
1,4.2,25
2,5.8,33
3,6.2,36
1,4.6,27
2,5.3,29
3,5.9,34
1,4.0,22
1,4.8,29
2,5.5,30
3,6.5,38
1,4.4,26
2,6.0,34
3,6.4,37
1,4.3,25
2,5.7,32
3,5.8,33
1,4.7,28
1,4.1,23
2,5.9,34
3,6.1,35
1,4.5,27
2,5.4,30
3,6.3,38
1,4.9,29
2,6.2,35
3,5.7,32
1,4.2,24
1,4.6,26
2,5.6,31
3,6.0,35
1,4.0,23
2,5.8,33
3,6.5,37
1,4.8,28
2,5.3,29
3,6.4,38
1,4.4,25
